Mittari;Aika;val
Tapausten lukumäärä;2020-01-28;1
Testausmäärä;2020-01-28;
Kuolemantapausten lukumäärä;2020-01-28;
Tapausten lukumäärä;2020-01-29;0
Testausmäärä;2020-01-29;
Kuolemantapausten lukumäärä;2020-01-29;
Tapausten lukumäärä;2020-01-30;0
Testausmäärä;2020-01-30;
Kuolemantapausten lukumäärä;2020-01-30;
Tapausten lukumäärä;2020-01-31;0
Testausmäärä;2020-01-31;
Kuolemantapausten lukumäärä;2020-01-31;
Tapausten lukumäärä;2020-02-01;0
Testausmäärä;2020-02-01;
Kuolemantapausten lukumäärä;2020-02-01;
Tapausten lukumäärä;2020-02-02;0
Testausmäärä;2020-02-02;
Kuolemantapausten lukumäärä;2020-02-02;
Tapausten lukumäärä;2020-02-03;0
Testausmäärä;2020-02-03;
Kuolemantapausten lukumäärä;2020-02-03;
Tapausten lukumäärä;2020-02-04;0
Testausmäärä;2020-02-04;
Kuolemantapausten lukumäärä;2020-02-04;
Tapausten lukumäärä;2020-02-05;0
Testausmäärä;2020-02-05;
Kuolemantapausten lukumäärä;2020-02-05;
Tapausten lukumäärä;2020-02-06;0
Testausmäärä;2020-02-06;
Kuolemantapausten lukumäärä;2020-02-06;
Tapausten lukumäärä;2020-02-07;0
Testausmäärä;2020-02-07;
Kuolemantapausten lukumäärä;2020-02-07;
Tapausten lukumäärä;2020-02-08;0
Testausmäärä;2020-02-08;
Kuolemantapausten lukumäärä;2020-02-08;
Tapausten lukumäärä;2020-02-09;0
Testausmäärä;2020-02-09;
Kuolemantapausten lukumäärä;2020-02-09;
Tapausten lukumäärä;2020-02-10;1
Testausmäärä;2020-02-10;
Kuolemantapausten lukumäärä;2020-02-10;
Tapausten lukumäärä;2020-02-11;0
Testausmäärä;2020-02-11;
Kuolemantapausten lukumäärä;2020-02-11;
Tapausten lukumäärä;2020-02-12;0
Testausmäärä;2020-02-12;
Kuolemantapausten lukumäärä;2020-02-12;
Tapausten lukumäärä;2020-02-13;0
Testausmäärä;2020-02-13;
Kuolemantapausten lukumäärä;2020-02-13;
Tapausten lukumäärä;2020-02-14;0
Testausmäärä;2020-02-14;
Kuolemantapausten lukumäärä;2020-02-14;
Tapausten lukumäärä;2020-02-15;0
Testausmäärä;2020-02-15;
Kuolemantapausten lukumäärä;2020-02-15;
Tapausten lukumäärä;2020-02-16;0
Testausmäärä;2020-02-16;
Kuolemantapausten lukumäärä;2020-02-16;
